iteration,loss
0,0.5591662801229037
1,0.5586572977212759
2,0.5574250129552988
3,0.5564940250836886
4,0.5563712188830743
5,0.5556555504982288
6,0.5546483214084919
7,0.5536968891437237
8,0.5529559552669525
9,0.5522239529169523
10,0.5515064918077909
11,0.5508042619778559
12,0.5500605152203486
13,0.5492917528519263
14,0.5485260349053603
15,0.5477608969578376
16,0.5469635793795953
17,0.5461265903252822
18,0.5452484305088336
19,0.5443567679478571
20,0.5434747407069573
21,0.5426123394415929
22,0.5417653987040887
23,0.5409340354112478
24,0.5401154710696294
25,0.5392983211920812
26,0.5384950912915744
27,0.5376792022815118
28,0.5368371032751523
29,0.5359558531871209
30,0.5350813338389764
31,0.5342277242587163
32,0.533421876338812
33,0.5326225413725927
34,0.5318096486421732
35,0.5309745967388153
36,0.5301220760895655
37,0.529253574518057
38,0.5284081995487213
39,0.5275503534537095
40,0.5266373638923352
41,0.5257113369611593
42,0.5247954107247866
43,0.5238831570515265
44,0.5229152143001556
45,0.5219227350675143
46,0.5208989817362565
47,0.519842111147367
48,0.5187673293627225
49,0.5176645311025473
50,0.5165585898436033
51,0.5154288204816672
52,0.514298466535715
53,0.513105225104552
54,0.5119317540755639
55,0.5104124591900752
56,0.5091778613053836
57,0.5073613982934219
58,0.5055871170300704
59,0.5038456733410175
60,0.5021024690224574
61,0.5001345643630395
62,0.4981381640984462
63,0.49639038626964277
64,0.49429508126699007
65,0.4925121298203102
66,0.4908936367585109
67,0.48925352784303516
68,0.4881707590359908
69,0.48656274951421297
70,0.4854114307807042
71,0.4840795718706571
72,0.48262481276805586
73,0.4814726939568153
74,0.4803224481069125
75,0.4787638600055988
76,0.47785277779285723
77,0.4766469895839691
78,0.4756516355734605
79,0.4748650880960318
80,0.47388306718606216
81,0.4728664824595818
82,0.4724302223095527
83,0.47169859363482547
84,0.47161006927490234
85,0.47068771719932556
86,0.47006389727959264
87,0.46972745198469895
88,0.46914347547751206
89,0.46894217225221485
90,0.4682921629685622
91,0.46811513946606564
92,0.46784554765774655
93,0.4672127801638383
94,0.4672500536992
95,0.4667511238501622
96,0.4663849312525529
97,0.4663437283956088
98,0.46589261293411255
99,0.46572224910442644
100,0.46542394848970264
101,0.46524444222450256
102,0.4644838869571686
103,0.4645784634810228
104,0.4649400527660663
105,0.4647977948188782
106,0.46467105929668134
107,0.46453810655153716
108,0.46459877032500047
109,0.46440001175953793
110,0.46436972801501936
111,0.46409177780151367
112,0.464130910543295
113,0.4643609592547783
114,0.46429781501109785
115,0.46427042667682356
116,0.46461783005641055
117,0.4655613692907187
118,0.46607131912158084
119,0.4660451847773332
120,0.46514288966472334
121,0.4649790342037494
122,0.4652814567089081
123,0.46632981988099903
124,0.4674123754868141
125,0.46794017920127284
126,0.4682283470263848
127,0.469138509952105
128,0.4692513140348288
129,0.4689398820583637
130,0.4693384743653811
131,0.4690454625166379
132,0.4695369188602154
133,0.46952983049245983
134,0.47036726199663603
135,0.47130945095649135
136,0.4719645197574909
137,0.47163559381778425
138,0.47172497098262495
139,0.4715167054763207
140,0.47249500109599185
141,0.4733236317451184
142,0.4721374488793887
143,0.4724199015360612
144,0.47388485761789173
145,0.4750357453639691
146,0.4758751575763409
147,0.47709553287579465
148,0.4771026579233316
149,0.47905818774149966
150,0.4792846464193784
151,0.47852256894111633
152,0.479284595984679
153,0.48134605013407195
154,0.48266663688879746
155,0.4860143821973067
156,0.4867544976564554
157,0.4891391900869516
158,0.48997950553894043
159,0.49364176851052505
160,0.5006448729680135
161,0.5054018990351603
162,0.5053500533103943
163,0.5052330264678369
164,0.5050965295388148
165,0.5049505142065195
166,0.5047765637819583
167,0.5045936497358176
168,0.5044300326934228
169,0.5042743522387284
170,0.5041286865105996
171,0.5039856743354064
172,0.5038275317503855
173,0.5036801844835281
174,0.5035431465277305
175,0.503395024400491
176,0.5032133643443768
177,0.5035239801957057
178,0.5030198498414113
179,0.5029921955787219
180,0.5028782991262583
181,0.5027582003520086
182,0.5026405316132766
183,0.5025049493863032
184,0.5023258924484253
185,0.5020373188532316
186,0.5023192774790984
187,0.5023056646952262
188,0.5022090249336683
189,0.5020894247751969
190,0.5019568961400253
191,0.5018210365222051
192,0.5016849098297266
193,0.501550820011359
194,0.5014236855965394
195,0.5012970807460638
196,0.5011701377538534
197,0.5010389639781072
198,0.5009062576752442
199,0.5007721472244996
