iteration,loss
0,0.5808299462000529
1,0.5811185002326965
2,0.5822686910629272
3,0.5817409833272298
4,0.5806159655253093
5,0.5801175912221272
6,0.5806808551152547
7,0.5799643437067667
8,0.5801007111867269
9,0.5796624898910523
10,0.5814522822697957
11,0.5778629541397095
12,0.5768109679222106
13,0.5765135288238525
14,0.5758962909380595
15,0.5754461208979289
16,0.5748902797698975
17,0.5744763294855754
18,0.5738028327624003
19,0.573227854569753
20,0.5726846893628438
21,0.5721094250679016
22,0.571580712000529
23,0.5710734009742737
24,0.570588747660319
25,0.5701430757840474
26,0.5696444551150004
27,0.5692614634831746
28,0.5687787612279256
29,0.5683512409528096
30,0.567913818359375
31,0.5675628463427226
32,0.5671041170756023
33,0.5669087330500285
34,0.5663550178209941
35,0.5660993536313375
36,0.5654898961385091
37,0.5650189022223154
38,0.5645690361658732
39,0.5640314221382141
40,0.5635501543680826
41,0.5629707852999369
42,0.5624990781148275
43,0.5618821064631144
44,0.5612276911735534
45,0.5606035013993581
46,0.5598999619483948
47,0.55916668176651
48,0.558466084798177
49,0.5577460209528605
50,0.5571043133735657
51,0.5563392420609792
52,0.555504959821701
53,0.5547984619935353
54,0.5538443843523662
55,0.5530943214893341
56,0.5520400245984395
57,0.5512096166610718
58,0.5503020385901133
59,0.548889837662379
60,0.547697252035141
61,0.5465180655320485
62,0.5454359233379364
63,0.5445719957351685
64,0.5438537160555522
65,0.5433213949203491
66,0.5428041219711304
67,0.5433148245016733
68,0.5433969298998514
69,0.543256159623464
70,0.5429325699806213
71,0.5431000192960104
72,0.5427529732386271
73,0.5421446522076925
74,0.5423251330852509
75,0.541948143641154
76,0.5428164700667063
77,0.5424395342667897
78,0.5428413073221843
79,0.5423963844776154
80,0.5431865612665813
81,0.5432002822558085
82,0.5419958074887593
83,0.5436203638712566
84,0.5432316501935323
85,0.5435030003388722
86,0.5430657188097636
87,0.5431024670600891
88,0.5433257261912028
89,0.5427136997381846
90,0.5431114375591278
91,0.542558083931605
92,0.5429743190606435
93,0.5427633186181386
94,0.542344347635905
95,0.5429575224717458
96,0.5429760615030924
97,0.5425340632597605
98,0.542737744251887
99,0.5428045709927877
100,0.542476765314738
101,0.5431784927845001
102,0.5423111895720164
103,0.5431321998437245
104,0.5428933064142863
105,0.5436889866987864
106,0.5449433366457621
107,0.5441957135995229
108,0.5443642338116964
109,0.5436473846435547
110,0.5444248418013254
111,0.5438201546669006
112,0.5438424865404765
113,0.5449007312456767
114,0.5457878232002258
115,0.5462200880050659
116,0.5487362245718638
117,0.5478020151456197
118,0.5483115613460541
119,0.5512869834899903
120,0.5559653838475546
121,0.5595711549123128
122,0.5668336530526479
123,0.5914107978343963
124,0.5960913379987081
125,0.5959649026393891
126,0.5957679450511932
127,0.595585964123408
128,0.595419446627299
129,0.5952705919742585
130,0.5951346556345621
131,0.5950126687685648
132,0.5949136873086294
133,0.5948387801647186
134,0.594762659072876
135,0.5946891188621521
136,0.59463778535525
137,0.5945876518885295
138,0.5945403893788656
139,0.5944823046525319
140,0.5944180727005005
141,0.5943623741467794
142,0.5943216224511464
143,0.5942817489306133
144,0.5942449371019999
145,0.5942103226979574
146,0.5941698511441549
147,0.5941201309363048
148,0.5940754234790802
149,0.5940496683120727
150,0.5940259059270223
151,0.5940066695213317
152,0.593991506099701
153,0.5939799567063649
154,0.5939721067746481
155,0.5939656078815461
156,0.593959492444992
157,0.5939544518788655
158,0.5939493556817372
159,0.5939440667629242
160,0.5939387202262878
161,0.593930697441101
162,0.5939222017923991
163,0.5939150989055634
164,0.593905915816625
165,0.5938895543416342
166,0.5938686807950337
167,0.5938482940196991
168,0.5938285668690999
169,0.593810514609019
170,0.5937944730122884
171,0.5937800983587901
172,0.593768310546875
173,0.5937557339668273
174,0.5937414189179738
175,0.5937266707420349
176,0.5937084396680196
177,0.5936876932779948
178,0.5936647117137909
179,0.5936407208442688
180,0.5936186174551646
181,0.5936005493005116
182,0.5935866673787434
183,0.5935679415861765
184,0.5935426572958629
185,0.5935144265492757
186,0.5934773206710815
187,0.593422903617223
188,0.5933148523171743
189,0.5788113534450531
190,0.5901934484640757
191,0.5934728741645813
192,0.593494733174642
193,0.59346883893013
194,0.5934203068415324
195,0.593360020716985
196,0.5933114886283875
197,0.5932633499304454
198,0.5932031611601511
199,0.5930841048558553
